,admin_region,admin_city,total(m^2),city(m^2),no_city(m^2),address_compo_short_name,formatted_addres_name,geo_location_lat,geo_location_lng,viewport_north_lat,viewport_north_lng,viewport_south_lat,viewport_south_lng,bounds_north_lat,bounds_north_lng,bounds_south_lat,bounds_south_lng,area,population,classification
92,전라북도,장수군,533273137,101773502,431499635,Jeollabuk-do,Jangsu,35.6472767,127.5211363,35.8390061,127.6921605,35.4678625,127.3614918,35.8390061,127.6921605,35.4678625,127.3614918,호남권,21395,Town
93,전라북도,임실군,597367624,67756244,529611380,Jeollabuk-do,Imsil,35.6110549,127.2826599,35.7802436,127.4374688,35.4603875,127.0828847,35.7802436,127.4374688,35.4603875,127.0828847,호남권,26409,Town
94,전라북도,순창군,495936567,21142529,474794038,Jeollabuk-do,Sunchang,35.3744136,127.1375968,35.5583532,127.3110194,35.298636,126.8581321,35.5583532,127.3110194,35.298636,126.8581321,호남권,27017,Town
95,전라북도,고창군,607738005,42496201,565241804,Jeollabuk-do,Gochang,35.4358216,126.7020806,35.5809272,126.7740442,35.3009041,126.3979958,35.5809272,126.7740442,35.3009041,126.3979958,호남권,54947,Town
96,전라북도,부안군,493210923,24784816,468426107,Jeollabuk-do,Buan,35.7315661,126.7334651,35.8190181,126.841085,35.5470109,126.0980206,35.8190181,126.841085,35.5470109,126.0980206,호남권,51249,Town
97,전라남도,목포시,51635536,51635536,,Jeollanam-do,Mokpo,34.8118351,126.3921664,34.8277,126.4797,34.7779,126.3607,34.8498542,126.4600037,34.7347778,126.2437893,호남권,233948,City
98,전라남도,여수시,510544178,234962508,275581670,Jeollanam-do,Yeosu,34.7603737,127.6622221,34.7814,127.7525,34.7236,127.6312,34.9102301,127.9478783,34.0031887,127.1964729,호남권,271741,City
99,전라남도,순천시,910978216,181713265,729264951,Jeollanam-do,Suncheon,34.950637,127.4872135,34.9972,127.5346,34.9288,127.4752,35.1886575,127.5988013,34.8150674,127.1741109,호남권,266809,City
100,전라남도,나주시,608400380,122277649,486122731,Jeollanam-do,Naju,35.0160601,126.7107572,35.0454,126.7272,34.9886,126.702,35.1150963,126.8993271,34.8678468,126.513067,호남권,105579,City
101,전라남도,광양시,463116197,134677238,328438959,Jeollanam-do,Gwangyang,34.9406968,127.6958882,34.9726,127.7854,34.8984,127.6507,35.1832561,127.803179,34.8737602,127.5228415,호남권,144010,City
